feature_set,feature,comparison,left_group,right_group,mann_whitney_u_pvalue,cohens_d,separation_score,left_count,left_mean,left_median,left_std,left_min,left_max,left_q25,left_q75,left_IQR,left_missing_count,left_zero_ratio,left_unique_count,right_count,right_mean,right_median,right_std,right_min,right_max,right_q25,right_q75,right_IQR,right_missing_count,right_zero_ratio,right_unique_count
all_current,has_additional_A,actual_normal_vs_actual_attack,actual_normal,actual_attack,0.0,-0.7922637126073326,0.0,65780,0.13952569169960474,0.0,0.3464968949812828,0.0,1.0,0.0,0.0,0.0,0,0.8604743083003953,2,16445,0.4415931894192764,0.0,0.4965920258506806,0.0,1.0,0.0,1.0,1.0,0,0.5584068105807236,2
all_current,has_additional_A,TP_vs_FN,TP,FN,0.0,,999999999.9999999,7262,1.0,1.0,0.0,1.0,1.0,1.0,1.0,0.0,0,0.0,1,9183,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,1.0,1
all_current,has_additional_A,TN_vs_FP,TN,FP,,,,65780,0.13952569169960474,0.0,0.3464968949812828,0.0,1.0,0.0,0.0,0.0,0,0.8604743083003953,2,0,,,,,,,,,0,,0
all_current,has_additional_A,TP_vs_TN,TP,TN,0.0,2.616828791949147,999999999.9999999,7262,1.0,1.0,0.0,1.0,1.0,1.0,1.0,0.0,0,0.0,1,65780,0.13952569169960474,0.0,0.3464968949812828,0.0,1.0,0.0,0.0,0.0,0,0.8604743083003953,2
all_current,has_additional_A,FN_vs_TP,FN,TP,0.0,,999999999.9999999,9183,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,1.0,1,7262,1.0,1.0,0.0,1.0,1.0,1.0,1.0,0.0,0,0.0,1
all_current,additional_A_count,actual_normal_vs_actual_attack,actual_normal,actual_attack,0.0,-0.7922637126073326,0.0,65780,0.13952569169960474,0.0,0.3464968949812828,0.0,1.0,0.0,0.0,0.0,0,0.8604743083003953,2,16445,0.4415931894192764,0.0,0.4965920258506806,0.0,1.0,0.0,1.0,1.0,0,0.5584068105807236,2
all_current,additional_A_count,TP_vs_FN,TP,FN,0.0,,999999999.9999999,7262,1.0,1.0,0.0,1.0,1.0,1.0,1.0,0.0,0,0.0,1,9183,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,1.0,1
all_current,additional_A_count,TN_vs_FP,TN,FP,,,,65780,0.13952569169960474,0.0,0.3464968949812828,0.0,1.0,0.0,0.0,0.0,0,0.8604743083003953,2,0,,,,,,,,,0,,0
all_current,additional_A_count,TP_vs_TN,TP,TN,0.0,2.616828791949147,999999999.9999999,7262,1.0,1.0,0.0,1.0,1.0,1.0,1.0,0.0,0,0.0,1,65780,0.13952569169960474,0.0,0.3464968949812828,0.0,1.0,0.0,0.0,0.0,0,0.8604743083003953,2
all_current,additional_A_count,FN_vs_TP,FN,TP,0.0,,999999999.9999999,9183,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,1.0,1,7262,1.0,1.0,0.0,1.0,1.0,1.0,1.0,0.0,0,0.0,1
all_current,unique_record_name_count,actual_normal_vs_actual_attack,actual_normal,actual_attack,4.0799850477864585e-205,-0.25874420541160026,0.0,65780,1.317254484645789,1.0,0.4764512828802376,0.0,5.0,1.0,2.0,1.0,0,0.0007601094557616296,6,16445,1.4415931894192764,1.0,0.4965920258506806,1.0,2.0,1.0,2.0,1.0,0,0.0,2
all_current,unique_record_name_count,TP_vs_FN,TP,FN,0.0,,999999999.9999999,7262,2.0,2.0,0.0,2.0,2.0,2.0,2.0,0.0,0,0.0,1,9183,1.0,1.0,0.0,1.0,1.0,1.0,1.0,0.0,0,0.0,1
all_current,unique_record_name_count,TN_vs_FP,TN,FP,,,,65780,1.317254484645789,1.0,0.4764512828802376,0.0,5.0,1.0,2.0,1.0,0,0.0007601094557616296,6,0,,,,,,,,,0,,0
all_current,unique_record_name_count,TP_vs_TN,TP,TN,0.0,1.5100005459337953,0.9999999989999999,7262,2.0,2.0,0.0,2.0,2.0,2.0,2.0,0.0,0,0.0,1,65780,1.317254484645789,1.0,0.4764512828802376,0.0,5.0,1.0,2.0,1.0,0,0.0007601094557616296,6
all_current,unique_record_name_count,FN_vs_TP,FN,TP,0.0,,999999999.9999999,9183,1.0,1.0,0.0,1.0,1.0,1.0,1.0,0.0,0,0.0,1,7262,2.0,2.0,0.0,2.0,2.0,2.0,2.0,0.0,0,0.0,1
all_current,additional_out_of_bailiwick_count,actual_normal_vs_actual_attack,actual_normal,actual_attack,0.0,0.4486335774135458,0.0,65780,0.2773791425965339,0.0,0.691249853853276,0.0,2.0,0.0,0.0,0.0,0,0.861310428701733,2,16445,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,1.0,1
all_current,additional_out_of_bailiwick_count,TP_vs_FN,TP,FN,1.0,,0.0,7262,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,1.0,1,9183,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,1.0,1
all_current,additional_out_of_bailiwick_count,TN_vs_FP,TN,FP,,,,65780,0.2773791425965339,0.0,0.691249853853276,0.0,2.0,0.0,0.0,0.0,0,0.861310428701733,2,0,,,,,,,,,0,,0
all_current,additional_out_of_bailiwick_count,TP_vs_TN,TP,TN,2.8625568912422546e-252,-0.42283944850229566,0.0,7262,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,1.0,1,65780,0.2773791425965339,0.0,0.691249853853276,0.0,2.0,0.0,0.0,0.0,0,0.861310428701733,2
all_current,additional_out_of_bailiwick_count,FN_vs_TP,FN,TP,1.0,,0.0,9183,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,1.0,1,7262,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,1.0,1
all_current,record_total,actual_normal_vs_actual_attack,actual_normal,actual_attack,0.0,0.7752738731266764,0.0,65780,2.4836120401337793,2.0,0.899326988730359,0.0,12.0,2.0,3.0,1.0,0,0.0007297050775311645,13,16445,1.8215871085436304,2.0,0.6409055683066263,1.0,3.0,1.0,2.0,1.0,0,0.0,3
all_current,record_total,TP_vs_FN,TP,FN,0.0,1.7813018074824176,0.49999999975,7262,2.299091159460204,2.0,0.4578913727603667,2.0,3.0,2.0,3.0,1.0,0,0.0,2,9183,1.4439725579875857,1.0,0.49687806457174255,1.0,2.0,1.0,2.0,1.0,0,0.0,2
all_current,record_total,TN_vs_FP,TN,FP,,,,65780,2.4836120401337793,2.0,0.899326988730359,0.0,12.0,2.0,3.0,1.0,0,0.0007297050775311645,13,0,,,,,,,,,0,,0
all_current,record_total,TP_vs_TN,TP,TN,8.452712808185224e-30,-0.21317591876238573,0.0,7262,2.299091159460204,2.0,0.4578913727603667,2.0,3.0,2.0,3.0,1.0,0,0.0,2,65780,2.4836120401337793,2.0,0.899326988730359,0.0,12.0,2.0,3.0,1.0,0,0.0007297050775311645,13
all_current,record_total,FN_vs_TP,FN,TP,0.0,-1.7813018074824176,0.49999999975,9183,1.4439725579875857,1.0,0.49687806457174255,1.0,2.0,1.0,2.0,1.0,0,0.0,2,7262,2.299091159460204,2.0,0.4578913727603667,2.0,3.0,2.0,3.0,1.0,0,0.0,2
all_current,answer_A_count,actual_normal_vs_actual_attack,actual_normal,actual_attack,0.0,-0.27153142725447765,0.0,65780,0.6925661295226513,1.0,0.7350238328959653,0.0,11.0,0.0,1.0,1.0,0,0.38393128610519917,12,16445,0.8755244755244755,1.0,0.33013329990559215,0.0,1.0,1.0,1.0,0.0,0,0.12447552447552447,2
all_current,answer_A_count,TP_vs_FN,TP,FN,0.0,-0.942744855264052,0.0,7262,0.7181217295510879,1.0,0.4499453180124894,0.0,1.0,0.0,1.0,1.0,0,0.28187827044891217,2,9183,1.0,1.0,0.0,1.0,1.0,1.0,1.0,0.0,0,0.0,1
all_current,answer_A_count,TN_vs_FP,TN,FP,,,,65780,0.6925661295226513,1.0,0.7350238328959653,0.0,11.0,0.0,1.0,1.0,0,0.38393128610519917,12,0,,,,,,,,,0,,0
all_current,answer_A_count,TP_vs_TN,TP,TN,5.582539419706346e-32,0.03590211758971605,0.0,7262,0.7181217295510879,1.0,0.4499453180124894,0.0,1.0,0.0,1.0,1.0,0,0.28187827044891217,2,65780,0.6925661295226513,1.0,0.7350238328959653,0.0,11.0,0.0,1.0,1.0,0,0.38393128610519917,12
all_current,answer_A_count,FN_vs_TP,FN,TP,0.0,0.942744855264052,0.0,9183,1.0,1.0,0.0,1.0,1.0,1.0,1.0,0.0,0,0.0,1,7262,0.7181217295510879,1.0,0.4499453180124894,0.0,1.0,0.0,1.0,1.0,0,0.28187827044891217,2
all_current,dns_count_add_rr,actual_normal_vs_actual_attack,actual_normal,actual_attack,0.0,1.042016955993276,0.9999999989999999,65780,1.1989358467619338,1.0,0.7737260064962977,0.0,3.0,1.0,1.0,0.0,0,0.08011553663727576,3,16445,0.4415931894192764,0.0,0.4965920258506806,0.0,1.0,0.0,1.0,1.0,0,0.5584068105807236,2
all_current,dns_count_add_rr,TP_vs_FN,TP,FN,0.0,,999999999.9999999,7262,1.0,1.0,0.0,1.0,1.0,1.0,1.0,0.0,0,0.0,1,9183,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,1.0,1
all_current,dns_count_add_rr,TN_vs_FP,TN,FP,,,,65780,1.1989358467619338,1.0,0.7737260064962977,0.0,3.0,1.0,1.0,0.0,0,0.08011553663727576,3,0,,,,,,,,,0,,0
all_current,dns_count_add_rr,TP_vs_TN,TP,TN,3.840093543516943e-33,-0.270933433650962,0.0,7262,1.0,1.0,0.0,1.0,1.0,1.0,1.0,0.0,0,0.0,1,65780,1.1989358467619338,1.0,0.7737260064962977,0.0,3.0,1.0,1.0,0.0,0,0.08011553663727576,3
all_current,dns_count_add_rr,FN_vs_TP,FN,TP,0.0,,999999999.9999999,9183,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,1.0,1,7262,1.0,1.0,0.0,1.0,1.0,1.0,1.0,0.0,0,0.0,1
all_current,dns_count_answers,actual_normal_vs_actual_attack,actual_normal,actual_attack,0.0,0.44814110325768225,0.0,65780,1.2766950440863485,1.0,0.6903027878367249,0.0,12.0,1.0,1.0,0.0,0,0.005518394648829431,13,16445,1.0,1.0,0.0,1.0,1.0,1.0,1.0,0.0,0,0.0,1
all_current,dns_count_answers,TP_vs_FN,TP,FN,1.0,,0.0,7262,1.0,1.0,0.0,1.0,1.0,1.0,1.0,0.0,0,0.0,1,9183,1.0,1.0,0.0,1.0,1.0,1.0,1.0,0.0,0,0.0,1
all_current,dns_count_answers,TN_vs_FP,TN,FP,,,,65780,1.2766950440863485,1.0,0.6903027878367249,0.0,12.0,1.0,1.0,0.0,0,0.005518394648829431,13,0,,,,,,,,,0,,0
all_current,dns_count_answers,TP_vs_TN,TP,TN,0.0,-0.4223752890836728,0.0,7262,1.0,1.0,0.0,1.0,1.0,1.0,1.0,0.0,0,0.0,1,65780,1.2766950440863485,1.0,0.6903027878367249,0.0,12.0,1.0,1.0,0.0,0,0.005518394648829431,13
all_current,dns_count_answers,FN_vs_TP,FN,TP,1.0,,0.0,9183,1.0,1.0,0.0,1.0,1.0,1.0,1.0,0.0,0,0.0,1,7262,1.0,1.0,0.0,1.0,1.0,1.0,1.0,0.0,0,0.0,1
all_current,additional_AAAA_count,actual_normal_vs_actual_attack,actual_normal,actual_attack,0.0,0.45020245905169104,0.0,65780,0.13952569169960474,0.0,0.3464968949812828,0.0,1.0,0.0,0.0,0.0,0,0.8604743083003953,2,16445,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,1.0,1
all_current,additional_AAAA_count,TP_vs_FN,TP,FN,1.0,,0.0,7262,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,1.0,1,9183,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,1.0,1
all_current,additional_AAAA_count,TN_vs_FP,TN,FP,,,,65780,0.13952569169960474,0.0,0.3464968949812828,0.0,1.0,0.0,0.0,0.0,0,0.8604743083003953,2,0,,,,,,,,,0,,0
all_current,additional_AAAA_count,TP_vs_TN,TP,TN,5.396057870960501e-254,-0.42431812749565867,0.0,7262,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,1.0,1,65780,0.13952569169960474,0.0,0.3464968949812828,0.0,1.0,0.0,0.0,0.0,0,0.8604743083003953,2
all_current,additional_AAAA_count,FN_vs_TP,FN,TP,1.0,,0.0,9183,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,1.0,1,7262,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,1.0,1
all_current,answer_record_count,actual_normal_vs_actual_attack,actual_normal,actual_attack,0.0,0.44814110325768225,0.0,65780,1.2766950440863485,1.0,0.6903027878367249,0.0,12.0,1.0,1.0,0.0,0,0.005518394648829431,13,16445,1.0,1.0,0.0,1.0,1.0,1.0,1.0,0.0,0,0.0,1
all_current,answer_record_count,TP_vs_FN,TP,FN,1.0,,0.0,7262,1.0,1.0,0.0,1.0,1.0,1.0,1.0,0.0,0,0.0,1,9183,1.0,1.0,0.0,1.0,1.0,1.0,1.0,0.0,0,0.0,1
all_current,answer_record_count,TN_vs_FP,TN,FP,,,,65780,1.2766950440863485,1.0,0.6903027878367249,0.0,12.0,1.0,1.0,0.0,0,0.005518394648829431,13,0,,,,,,,,,0,,0
all_current,answer_record_count,TP_vs_TN,TP,TN,0.0,-0.4223752890836728,0.0,7262,1.0,1.0,0.0,1.0,1.0,1.0,1.0,0.0,0,0.0,1,65780,1.2766950440863485,1.0,0.6903027878367249,0.0,12.0,1.0,1.0,0.0,0,0.005518394648829431,13
all_current,answer_record_count,FN_vs_TP,FN,TP,1.0,,0.0,9183,1.0,1.0,0.0,1.0,1.0,1.0,1.0,0.0,0,0.0,1,7262,1.0,1.0,0.0,1.0,1.0,1.0,1.0,0.0,0,0.0,1
all_current,frame_len,actual_normal_vs_actual_attack,actual_normal,actual_attack,0.0,1.4673027466082607,0.3302752293547681,65780,175.27546366676802,172.0,30.619567644177156,70.0,419.0,148.0,192.0,44.0,0,0.0,163,16445,131.71395560960778,136.0,25.625965873055407,100.0,171.0,100.0,165.0,65.0,0,0.0,5
all_current,frame_len,TP_vs_FN,TP,FN,0.0,1.9213179014084587,0.8333333333226496,7262,151.60616909942163,165.0,19.335666866430632,129.0,171.0,129.0,171.0,42.0,0,0.0,3,9183,115.98301208755309,100.0,17.887610324582734,100.0,136.0,100.0,136.0,36.0,0,0.0,2
all_current,frame_len,TN_vs_FP,TN,FP,,,,65780,175.27546366676802,172.0,30.619567644177156,70.0,419.0,148.0,192.0,44.0,0,0.0,163,0,,,,,,,,,0,,0
all_current,frame_len,TP_vs_TN,TP,TN,0.0,-0.7972032045481064,0.08139534883626284,7262,151.60616909942163,165.0,19.335666866430632,129.0,171.0,129.0,171.0,42.0,0,0.0,3,65780,175.27546366676802,172.0,30.619567644177156,70.0,419.0,148.0,192.0,44.0,0,0.0,163
all_current,frame_len,FN_vs_TP,FN,TP,0.0,-1.9213179014084587,0.8333333333226496,9183,115.98301208755309,100.0,17.887610324582734,100.0,136.0,100.0,136.0,36.0,0,0.0,2,7262,151.60616909942163,165.0,19.335666866430632,129.0,171.0,129.0,171.0,42.0,0,0.0,3
all_current,ttl_std,actual_normal_vs_actual_attack,actual_normal,actual_attack,0.0,0.33787357706000826,0.0,65780,2742.7568231968485,0.0,9075.82472833607,-1.0,43185.0,0.0,32.5,32.5,0,0.691045910611128,1656,16445,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,1.0,1
all_current,ttl_std,TP_vs_FN,TP,FN,1.0,,0.0,7262,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,1.0,1,9183,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,1.0,1
all_current,ttl_std,TN_vs_FP,TN,FP,,,,65780,2742.7568231968485,0.0,9075.82472833607,-1.0,43185.0,0.0,32.5,32.5,0,0.691045910611128,1656,0,,,,,,,,,0,,0
all_current,ttl_std,TP_vs_TN,TP,TN,0.0,-0.318447579896275,0.0,7262,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,1.0,1,65780,2742.7568231968485,0.0,9075.82472833607,-1.0,43185.0,0.0,32.5,32.5,0,0.691045910611128,1656
all_current,ttl_std,FN_vs_TP,FN,TP,1.0,,0.0,9183,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,1.0,1,7262,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,1.0,1
dropped_shortcut_only,frame_len,actual_normal_vs_actual_attack,actual_normal,actual_attack,0.0,1.4673027466082607,0.3302752293547681,65780,175.27546366676802,172.0,30.619567644177156,70.0,419.0,148.0,192.0,44.0,0,0.0,163,16445,131.71395560960778,136.0,25.625965873055407,100.0,171.0,100.0,165.0,65.0,0,0.0,5
dropped_shortcut_only,frame_len,TP_vs_FN,TP,FN,,,,16445,131.71395560960778,136.0,25.625965873055407,100.0,171.0,100.0,165.0,65.0,0,0.0,5,0,,,,,,,,,0,,0
dropped_shortcut_only,frame_len,TN_vs_FP,TN,FP,0.0,1.096680767904845,0.6249999999869792,60715,177.75720991517747,172.0,29.70601916089481,103.0,291.0,149.0,197.0,48.0,0,0.0,99,5065,145.5263573543929,142.0,25.287371774591907,70.0,419.0,142.0,142.0,0.0,0,0.0,128
dropped_shortcut_only,frame_len,TP_vs_TN,TP,TN,0.0,-1.5940284512549119,0.3185840707936408,16445,131.71395560960778,136.0,25.625965873055407,100.0,171.0,100.0,165.0,65.0,0,0.0,5,60715,177.75720991517747,172.0,29.70601916089481,103.0,291.0,149.0,197.0,48.0,0,0.0,99
dropped_shortcut_only,frame_len,FN_vs_TP,FN,TP,,,,0,,,,,,,,,0,,0,16445,131.71395560960778,136.0,25.625965873055407,100.0,171.0,100.0,165.0,65.0,0,0.0,5
dropped_shortcut_only,ip_len,actual_normal_vs_actual_attack,actual_normal,actual_attack,0.0,1.4799910173242343,0.3302752293547681,65780,155.47449072666464,152.0,30.47402655778828,56.0,405.0,128.0,172.0,44.0,0,0.0,156,16445,111.71395560960778,116.0,25.625965873055407,80.0,151.0,80.0,145.0,65.0,0,0.0,5
dropped_shortcut_only,ip_len,TP_vs_FN,TP,FN,,,,16445,111.71395560960778,116.0,25.625965873055407,80.0,151.0,80.0,145.0,65.0,0,0.0,5,0,,,,,,,,,0,,0
dropped_shortcut_only,ip_len,TN_vs_FP,TN,FP,0.0,1.0168818410942013,0.6249999999869792,60715,157.7774685003706,152.0,29.682588707087657,89.0,277.0,129.0,177.0,48.0,0,0.0,95,5065,127.86831194471866,122.0,25.95812174506128,56.0,405.0,122.0,122.0,0.0,0,0.0,128
dropped_shortcut_only,ip_len,TP_vs_TN,TP,TN,0.0,-1.5957772664564789,0.3185840707936408,16445,111.71395560960778,116.0,25.625965873055407,80.0,151.0,80.0,145.0,65.0,0,0.0,5,60715,157.7774685003706,152.0,29.682588707087657,89.0,277.0,129.0,177.0,48.0,0,0.0,95
dropped_shortcut_only,ip_len,FN_vs_TP,FN,TP,,,,0,,,,,,,,,0,,0,16445,111.71395560960778,116.0,25.625965873055407,80.0,151.0,80.0,145.0,65.0,0,0.0,5
dropped_shortcut_only,frame_cap_len,actual_normal_vs_actual_attack,actual_normal,actual_attack,0.0,1.4673027466082607,0.3302752293547681,65780,175.27546366676802,172.0,30.619567644177156,70.0,419.0,148.0,192.0,44.0,0,0.0,163,16445,131.71395560960778,136.0,25.625965873055407,100.0,171.0,100.0,165.0,65.0,0,0.0,5
dropped_shortcut_only,frame_cap_len,TP_vs_FN,TP,FN,,,,16445,131.71395560960778,136.0,25.625965873055407,100.0,171.0,100.0,165.0,65.0,0,0.0,5,0,,,,,,,,,0,,0
dropped_shortcut_only,frame_cap_len,TN_vs_FP,TN,FP,0.0,1.096680767904845,0.6249999999869792,60715,177.75720991517747,172.0,29.70601916089481,103.0,291.0,149.0,197.0,48.0,0,0.0,99,5065,145.5263573543929,142.0,25.287371774591907,70.0,419.0,142.0,142.0,0.0,0,0.0,128
dropped_shortcut_only,frame_cap_len,TP_vs_TN,TP,TN,0.0,-1.5940284512549119,0.3185840707936408,16445,131.71395560960778,136.0,25.625965873055407,100.0,171.0,100.0,165.0,65.0,0,0.0,5,60715,177.75720991517747,172.0,29.70601916089481,103.0,291.0,149.0,197.0,48.0,0,0.0,99
dropped_shortcut_only,frame_cap_len,FN_vs_TP,FN,TP,,,,0,,,,,,,,,0,,0,16445,131.71395560960778,136.0,25.625965873055407,100.0,171.0,100.0,165.0,65.0,0,0.0,5
dropped_shortcut_only,udp_length,actual_normal_vs_actual_attack,actual_normal,actual_attack,0.0,1.4799910173242343,0.3302752293547681,65780,135.47449072666464,132.0,30.47402655778828,36.0,385.0,108.0,152.0,44.0,0,0.0,156,16445,91.71395560960778,96.0,25.625965873055407,60.0,131.0,60.0,125.0,65.0,0,0.0,5
dropped_shortcut_only,udp_length,TP_vs_FN,TP,FN,,,,16445,91.71395560960778,96.0,25.625965873055407,60.0,131.0,60.0,125.0,65.0,0,0.0,5,0,,,,,,,,,0,,0
dropped_shortcut_only,udp_length,TN_vs_FP,TN,FP,0.0,1.0168818410942013,0.6249999999869792,60715,137.7774685003706,132.0,29.682588707087657,69.0,257.0,109.0,157.0,48.0,0,0.0,95,5065,107.86831194471866,102.0,25.95812174506128,36.0,385.0,102.0,102.0,0.0,0,0.0,128
dropped_shortcut_only,udp_length,TP_vs_TN,TP,TN,0.0,-1.5957772664564789,0.3185840707936408,16445,91.71395560960778,96.0,25.625965873055407,60.0,131.0,60.0,125.0,65.0,0,0.0,5,60715,137.7774685003706,132.0,29.682588707087657,69.0,257.0,109.0,157.0,48.0,0,0.0,95
dropped_shortcut_only,udp_length,FN_vs_TP,FN,TP,,,,0,,,,,,,,,0,,0,16445,91.71395560960778,96.0,25.625965873055407,60.0,131.0,60.0,125.0,65.0,0,0.0,5
dropped_shortcut_only,src_port,actual_normal_vs_actual_attack,actual_normal,actual_attack,0.0,3.788418890633103,30000000000000.0,65780,27649.53390088173,30053.0,8144.221388195218,53.0,30053.0,30053.0,30053.0,0.0,0,0.0,2,16445,53.0,53.0,0.0,53.0,53.0,53.0,53.0,0.0,0,0.0,1
dropped_shortcut_only,src_port,TP_vs_FN,TP,FN,,,,16445,53.0,53.0,0.0,53.0,53.0,53.0,53.0,0.0,0,0.0,1,0,,,,,,,,,0,,0
dropped_shortcut_only,src_port,TN_vs_FP,TN,FP,0.0,17.88253066754663,30000000000000.0,60715,29951.707074034424,30053.0,1740.2808405487758,53.0,30053.0,30053.0,30053.0,0.0,0,0.0,2,5065,53.0,53.0,0.0,53.0,53.0,53.0,53.0,0.0,0,0.0,1
dropped_shortcut_only,src_port,TP_vs_TN,TP,TN,0.0,-19.36774806498356,30000000000000.0,16445,53.0,53.0,0.0,53.0,53.0,53.0,53.0,0.0,0,0.0,1,60715,29951.707074034424,30053.0,1740.2808405487758,53.0,30053.0,30053.0,30053.0,0.0,0,0.0,2
dropped_shortcut_only,src_port,FN_vs_TP,FN,TP,,,,0,,,,,,,,,0,,0,16445,53.0,53.0,0.0,53.0,53.0,53.0,53.0,0.0,0,0.0,1
dropped_shortcut_only,query_name_len,actual_normal_vs_actual_attack,actual_normal,actual_attack,0.0,2.4075125267870354,1.3529411763910035,65780,34.51568865916692,32.0,11.849274611830971,4.0,58.0,26.0,43.0,17.0,0,0.0,52,16445,9.0,9.0,0.0,9.0,9.0,9.0,9.0,0.0,0,0.0,1
dropped_shortcut_only,query_name_len,TP_vs_FN,TP,FN,,,,16445,9.0,9.0,0.0,9.0,9.0,9.0,9.0,0.0,0,0.0,1,0,,,,,,,,,0,,0
dropped_shortcut_only,query_name_len,TN_vs_FP,TN,FP,0.0,2.448364208568831,1.090909090859504,60715,36.38632957259326,33.0,10.245465650021165,16.0,58.0,27.0,43.0,16.0,0,0.0,43,5065,12.092003948667324,9.0,4.517543610032647,4.0,39.0,9.0,15.0,6.0,0,0.0,25
dropped_shortcut_only,query_name_len,TP_vs_TN,TP,TN,0.0,-3.0133403457528662,1.49999999990625,16445,9.0,9.0,0.0,9.0,9.0,9.0,9.0,0.0,0,0.0,1,60715,36.38632957259326,33.0,10.245465650021165,16.0,58.0,27.0,43.0,16.0,0,0.0,43
dropped_shortcut_only,query_name_len,FN_vs_TP,FN,TP,,,,0,,,,,,,,,0,,0,16445,9.0,9.0,0.0,9.0,9.0,9.0,9.0,0.0,0,0.0,1
dropped_shortcut_only,query_entropy,actual_normal_vs_actual_attack,actual_normal,actual_attack,0.0,3.386147521940197,3.008776896813879,65780,3.9587093548179006,3.9912157102019847,0.33381137468540556,2.0,4.649878362697041,3.8441065448145384,4.190929511009918,0.3468229661953792,0,0.0,3457,16445,2.9477027792200894,2.94770277922009,4.441027127221897e-16,2.94770277922009,2.94770277922009,2.94770277922009,2.94770277922009,0.0,0,0.0,1
dropped_shortcut_only,query_entropy,TP_vs_FN,TP,FN,,,,16445,2.9477027792200894,2.94770277922009,4.441027127221897e-16,2.94770277922009,2.94770277922009,2.94770277922009,2.94770277922009,0.0,0,0.0,1,0,,,,,,,,,0,,0
dropped_shortcut_only,query_entropy,TN_vs_FP,TN,FP,0.0,4.417581476197226,1.865760713184002,60715,4.032203075386604,4.0043444463675275,0.21635325631132646,3.1307179879273743,4.649878362697041,3.88307418942857,4.2072117677593,0.32413757833072987,0,0.0,3363,5065,3.077727865315673,2.94770277922009,0.21255007624624303,2.0,3.9148663038831,2.94770277922009,3.1898980954642875,0.24219531624419766,0,0.0,113
dropped_shortcut_only,query_entropy,TP_vs_TN,TP,TN,0.0,-5.650830708775615,3.2598554889228257,16445,2.9477027792200894,2.94770277922009,4.441027127221897e-16,2.94770277922009,2.94770277922009,2.94770277922009,2.94770277922009,0.0,0,0.0,1,60715,4.032203075386604,4.0043444463675275,0.21635325631132646,3.1307179879273743,4.649878362697041,3.88307418942857,4.2072117677593,0.32413757833072987,0,0.0,3363
dropped_shortcut_only,query_entropy,FN_vs_TP,FN,TP,,,,0,,,,,,,,,0,,0,16445,2.9477027792200894,2.94770277922009,4.441027127221897e-16,2.94770277922009,2.94770277922009,2.94770277922009,2.94770277922009,0.0,0,0.0,1
dropped_shortcut_only,query_label_count,actual_normal_vs_actual_attack,actual_normal,actual_attack,0.0,3.446429787438099,2.9999999969999998,65780,4.433034356947401,5.0,0.7892813341487687,1.0,5.0,4.0,5.0,1.0,0,0.0,5,16445,2.0,2.0,0.0,2.0,2.0,2.0,2.0,0.0,0,0.0,1
dropped_shortcut_only,query_label_count,TP_vs_FN,TP,FN,,,,16445,2.0,2.0,0.0,2.0,2.0,2.0,2.0,0.0,0,0.0,1,0,,,,,,,,,0,,0
dropped_shortcut_only,query_label_count,TN_vs_FP,TN,FP,0.0,4.345386145438358,1.49999999925,60715,4.605599934118422,5.0,0.5181378628500288,3.0,5.0,4.0,5.0,1.0,0,0.0,3,5065,2.364461994076999,2.0,0.48622476886293803,1.0,4.0,2.0,3.0,1.0,0,0.0,4
dropped_shortcut_only,query_label_count,TP_vs_TN,TP,TN,0.0,-5.669026183855228,2.9999999969999998,16445,2.0,2.0,0.0,2.0,2.0,2.0,2.0,0.0,0,0.0,1,60715,4.605599934118422,5.0,0.5181378628500288,3.0,5.0,4.0,5.0,1.0,0,0.0,3
dropped_shortcut_only,query_label_count,FN_vs_TP,FN,TP,,,,0,,,,,,,,,0,,0,16445,2.0,2.0,0.0,2.0,2.0,2.0,2.0,0.0,0,0.0,1
